"id","year","state_name","state_code","district_name","district_code","registeration_circles","tampering_computer_source_documents","computer_related_offences","cyber_terrorism","pub_of_sexually_exp_act_elec_form","intrcptn_montr_decryp_info","unauthorized_access_to_protected_computer_system","abetment_to_commit_offences","attempt_to_commit_offences","other_sections_of_it_act","abetment_of_suicide_online","cyber_stalking_bullying_of_women_or_children","data_theft","fraud","cheating","forgery","defamation_or_morphing","fake_profile","counterfeiting","cyber_blackmailing_threatening","fake_news_on_social_media","other_offences","gambling_act","lotteries_act","copy_right_act","trade_marks_act","other_sll_crimes","total_cyber_crimes"
0,"2021-01-01","Andhra Pradesh","28","Ananthapuramu","502","Anantapur",0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,25.0,2.0,0.0,0.0,1.0,0.0,5.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,55.0
1,"2021-01-01","Andhra Pradesh","28","Chittoor","503","Chittoor",0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,24.0,0.0,2.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,51.0
2,"2021-01-01","Andhra Pradesh","28","Y.S.R.","504","Cuddapah",0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0
3,"2021-01-01","Andhra Pradesh","28","East Godavari","505","East Godavari",0.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,79.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,107.0
4,"2021-01-01","Andhra Pradesh","28","Ananthapuramu","502","Guntakal Railway",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"2021-01-01","Andhra Pradesh","28","Guntur","506","Guntur",0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,52.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,101.0
6,"2021-01-01","Andhra Pradesh","28","Guntur","506","Guntur Urban",0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,6.0,144.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,211.0
7,"2021-01-01","Andhra Pradesh","28","Krishna","510","Krishna",0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,47.0
8,"2021-01-01","Andhra Pradesh","28","Kurnool","511","Kurnool",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,84.0
9,"2021-01-01","Andhra Pradesh","28","Sri Potti Sriramulu Nellore","515","Nellore",0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,11.0,30.0,0.0,0.0,0.0,0.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,65.0
